beta,slope,DeltaQ,ratio_wfast_wslow,log10_ratio
8.0,0.26,0.0025500000000000037,3.264029174765874e-08,-7.486245968060577
8.0,0.2991666666666667,0.013500347222222306,1.500645350904195e-08,-7.823721932902629
8.0,0.3383333333333333,0.02598472222222223,6.939482226605652e-09,-8.158672932213268
8.0,0.3775,0.04000312500000012,3.224210208061972e-09,-8.491576651350407
8.0,0.41666666666666663,0.05555555555555552,1.5035700722743779e-09,-8.822876327262193
8.0,0.4558333333333333,0.07264201388888894,7.030983715966839e-10,-9.15298390790648
8.0,0.495,0.0912624999999998,3.2939510271855587e-10,-9.482282861991152
8.0,0.5341666666666667,0.11141701388888892,1.544789524906777e-10,-9.811130684134545
8.0,0.5733333333333333,0.13310555555555564,7.246676361875769e-11,-10.139861133933554
8.0,0.6125,0.15632812499999998,3.397924760112284e-11,-10.468786241897174
8.0,0.6516666666666666,0.18108472222222155,1.5914825805276892e-11,-10.798198110559852
8.0,0.6908333333333333,0.20737534722222262,7.440968479261722e-12,-11.128370535176423
8.0,0.73,0.2351999999999997,3.470879488505568e-12,-11.459560465091373
8.0,0.7691666666666667,0.2645586805555561,1.614323897792453e-12,-11.792009324067907
8.0,0.8083333333333332,0.2954513888888889,7.482656252546344e-13,-12.12594420547205
8.0,0.8474999999999999,0.32787812499999974,3.454785147366814e-13,-12.4615789561666
8.0,0.8866666666666666,0.36183888888888915,1.588125571862532e-13,-12.79911516122196
8.0,0.9258333333333333,0.3973336805555553,7.265357012304212e-14,-13.138743040049489
8.0,0.965,0.4343625,3.3064178490161916e-14,-13.480642263270651
8.0,1.0041666666666664,0.4729253472222228,1.4962952645185844e-14,-13.824982698518161
8.0,1.0433333333333332,0.5130222222222225,6.730927420662734e-15,-14.171925092399073
8.0,1.0825,0.5546531249999985,3.0086959746641915e-15,-14.521621695010516
8.0,1.1216666666666666,0.597818055555556,1.3359283534860078e-15,-14.874216832668882
8.0,1.1608333333333332,0.6425170138888885,5.890505503984752e-16,-15.229847433876584
8.0,1.2,0.6887499999999994,2.578436776926476e-16,-15.588643512994356
8.25,0.26,0.0025500000000000037,1.9061405653645718e-08,-7.719845076147207
8.25,0.2991666666666667,0.013500347222222306,8.582602200765108e-09,-8.066381016336344
8.25,0.3383333333333333,0.02598472222222223,3.889511929650046e-09,-8.410104892134026
8.25,0.3775,0.04000312500000012,1.7721100290949942e-09,-8.751509316565613
8.25,0.41666666666666663,0.05555555555555552,8.108651255343968e-10,-9.091051377733873
8.25,0.4558333333333333,0.07264201388888894,3.7225805426815793e-10,-9.429155896970345
8.25,0.495,0.0912624999999998,1.7130958918853492e-10,-9.766218326380034
8.25,0.5341666666666667,0.11141701388888892,7.895736886800193e-11,-10.1026073322881
